"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",6.52622255089448,0.478896339844087,13.6276308835837,6.46970170166757e-28
"2","Sepal.Width",-0.2233610611299,0.155080929942408,-1.44028708889513,0.151898260711447
